Nom,Raison sociale,SIREN,Segment,Adresse Toulouse,Gérant,Type dirigeant,Rôle,Nb établissements,Date création,SIREN holding
"REGINE CUNHAC DALLA PALMA (CUNHAC)","",332485572,"Autre commerce spécialisé","24 RUE BLAISE PASCAL 31500 TOULOUSE","Regine Cunhac dalla palma (cunhac)",physique,"",1,1985-01-02,
"REMY HAIR FRANCE","",750258162,"Autre commerce spécialisé","LOCAL 27 14 RUE MARAN 31400 TOULOUSE","Martial Nnomo yene",physique,"",1,2012-03-05,
"RHEMA","RHEMA",520576406,"Autre commerce spécialisé","3 RUE DES PARADOUX 31000 TOULOUSE","Eugene Lee (choung)",physique,"Gérant",1,2010-02-17,
"RIADH BEJAOUI","",390110237,"Autre commerce spécialisé","7 ALLEE PAULE SOULE 31300 TOULOUSE","Riadh Bejaoui",physique,"",1,1993-02-15,
"RIGAUD PERE ET FILS","RIGAUD PERE ET FILS",580803005,"Autre commerce spécialisé","49 ALLEE DE BRIENNE 31000 TOULOUSE","Philippe Rigaud",physique,"Gérant",1,1958-01-01,
"RMC EVENEMENTS","RMC EVENEMENTS",953841624,"Autre commerce spécialisé","27 RUE DES CHANGES 31000 TOULOUSE","Ahlam Moumene (el ouardi)",physique,"Président de SAS",1,2023-07-01,
"RMCE","RMCE",853243426,"Autre commerce spécialisé","ESPACE GRAMONT 2 CHEMIN DE GABARDIE 31200 TOULOUSE","Matthieu Merlin",physique,"Président de SAS",3,2019-08-20,
"ROCK'IN","ROCK'IN",512096942,"Autre commerce spécialisé","2 RUE DU COQ D'INDE 31000 TOULOUSE","",,"",1,2009-05-01,
"ROCVERT SA","ROCVERT SA",392737540,"Autre commerce spécialisé","26 AVENUE DIDIER DAURAT 31400 TOULOUSE","Jean-luc Ricard",physique,"Autre",3,1993-10-14,
"ROMAIN LE BOT","ROMAIN LE BOT",849997952,"Autre commerce spécialisé","6 RUE DES GESTES 31000 TOULOUSE","Romain Le bot",physique,"Gérant",1,2019-03-01,
"S HOUSE COMPAGNY","S HOUSE COMPAGNY",919563023,"Autre commerce spécialisé","10 AVENUE WINSTON CHURCHILL 31100 TOULOUSE","Isabelle Noel (beauville)",physique,"Président de SAS",3,2022-09-07,
"S.A.R.L. FUJUKI","S.A.R.L. FUJUKI",504733098,"Autre commerce spécialisé","7 RUE TEMPONIERES 31000 TOULOUSE","Yan Chadburn (xiang)",physique,"Gérant",1,2008-06-16,
"SABER KAMMAKH","",792229155,"Autre commerce spécialisé","B304 293 B ROUTE DE LAUNAGUET 31200 TOULOUSE","Saber Kammakh",physique,"",1,2013-04-02,
"SABRETACHE","SABRETACHE",798755617,"Autre commerce spécialisé","1 B RUE PARGAMINIERES 31000 TOULOUSE","Olivier Lorin",physique,"Président de SAS",1,2013-12-01,
"SAC'STORY","SAC'STORY",431850460,"Autre commerce spécialisé","21 RUE D'ALSACE LORRAINE 31000 TOULOUSE","",,"",4,2000-06-15,
"SAID IGRANE","",530399955,"Autre commerce spécialisé","40 B AVENUE MAURICE BOURGES MAUNOURY 31200 TOULOUSE","Said Igrane",physique,"",1,2011-02-28,
"SAKAH GALERIE","GALERIE SAKAH",510802770,"Autre commerce spécialisé","7 RUE CROIX BARAGNON 31000 TOULOUSE","Touria Sakah",physique,"Gérant",1,2009-03-09,
"SANDRINE LACORRE","",535017131,"Autre commerce spécialisé","BAT A  APT 4 108 AVENUE RAYMOND NAVES 31500 TOULOUSE","Sandrine Lacorre (lacorre)",physique,"",1,2011-10-17,
"SARL ASIE BAZAR","SARL ASIE BAZAR",430268839,"Autre commerce spécialisé","35 RUE DES SEPT TROUBADOURS 31000 TOULOUSE","Kalaivani Kathiravelu",physique,"Gérant",1,2000-02-11,
"SARL CEYLAN","SARL CEYLAN",433901717,"Autre commerce spécialisé","1 RUE DES PENITENTS GRIS 31000 TOULOUSE","",,"",2,2000-11-13,
"SARL KDO BEBES","SARL KDO BEBES",881207179,"Autre commerce spécialisé","16 RUE MAGE 31000 TOULOUSE","Chih-wei Lee",physique,"Gérant",2,2020-01-23,
"SARL LES OREADES","SARL LES OREADES",327004503,"Autre commerce spécialisé","39 RUE PHARAON 31000 TOULOUSE","Edmond Rosenfeld",physique,"Gérant",2,1983-01-02,
"SARL PSYCHOJONGLEUR","SARL PSYCHOJONGLEUR",408128908,"Autre commerce spécialisé","2 RUE DE METZ 31000 TOULOUSE","Frederic Durand",physique,"Gérant",2,1996-07-09,
"SARL SAIN","SARL SAIN",501775860,"Autre commerce spécialisé","10 RUE TEMPONIERES 31000 TOULOUSE","Vimal Sain",physique,"Gérant",1,2008-01-01,
"SARL SAM","SARL SAM",810221408,"Autre commerce spécialisé","BOITE 7 70 RUE JACQUES BABINET 31100 TOULOUSE","Said Drider",physique,"Gérant",1,2015-01-19,
"SAS RESONNANCES","SAS RESONNANCES",792077422,"Autre commerce spécialisé","30 RUE THERON DE MONTAUGE 31200 TOULOUSE","Olivier Chalmeau",physique,"Directeur Général",2,2013-03-21,
"SAS ROSTON","SAS ROSTON",791176423,"Autre commerce spécialisé","5 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","Catherine Rojas rodriguez (lebrun)",physique,"Président de SAS",1,2013-02-11,
"SC@RLET SYSTEMES","SC@RLET SYSTEMES",483014080,"Autre commerce spécialisé","165 RUE DU FERETRA 31400 TOULOUSE","",,"",1,2005-07-01,
"SECURITE BALL","PASCUAL HOLDING",539666644,"Autre commerce spécialisé","37 RUE DE LA BALANCE 31000 TOULOUSE","Gregory Pascual",physique,"Président de SAS",1,2012-01-24,
"SENTEUR D'ORIENT","SENTEUR D'ORIENT",940609738,"Autre commerce spécialisé","APPT 336 2 RUE JEAN CASTILHON 31500 TOULOUSE","Slimane Benslimane",physique,"Président de SAS",2,2025-02-03,
"SEVEN-STORE","SEVEN-STORE",508687050,"Autre commerce spécialisé","19 RUE DU LANGUEDOC 31000 TOULOUSE","",,"",1,2008-11-02,
"SHADAOW MOON","",983361221,"Autre commerce spécialisé","44 AVENUE JULES JULIEN 31400 TOULOUSE","Sylva Duman (sylva duman)",physique,"",1,2023-12-14,
"SIHEM DERRADJI","",442898375,"Autre commerce spécialisé","46 RUE LEON GAMBETTA 31000 TOULOUSE","Sihem Derradji",physique,"",1,2002-07-25,
"SILLAGE ETHNIQUE","",521674895,"Autre commerce spécialisé","36 RUE DU TAUR 31000 TOULOUSE","Charles-henri Andre de la porte",physique,"",1,2010-04-02,
"SILVER SMOK","M.A. CONSEILS",529426884,"Autre commerce spécialisé","LES BOUTIQUES SAINT GEORGES 51 B RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","Mossadegh Afrit",physique,"Gérant",4,2011-01-01,
"SISTER'SVAPE","SYSVAPE",949326623,"Autre commerce spécialisé","59 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","Sarah Belkhodja",physique,"Gérant",1,2023-01-24,
"SLAPSHOT","SLAPSHOT",478728504,"Autre commerce spécialisé","299 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","Michel Domenech",physique,"Gérant",1,2004-09-01,
"SLOW","SLOW",799045927,"Autre commerce spécialisé","10 RUE SAINTE URSULE 31000 TOULOUSE","Audrey Iakob-teran (iakob)",physique,"Gérant",1,2014-01-11,
"SMOKE DOG","SMOKE DOG",905252995,"Autre commerce spécialisé","41 RUE RECLUSANE 31300 TOULOUSE","William Stouffs",physique,"Gérant",2,2021-10-28,
"SOCIETE TRADEL","SOCIETE TRADEL",411453368,"Autre commerce spécialisé","LES MURIERS N 30 39 RUE PAUL GAUGUIN 31100 TOULOUSE","Patrick Charpentier",physique,"Gérant",1,1997-04-07,
"SOE","SOE",892698788,"Autre commerce spécialisé","15 CHEMIN DE LA CRABE 31300 TOULOUSE","Ludovic Favereau",physique,"Directeur Général",1,2020-12-21,
"SOUL BROTHERS JEWELLERY","",480056209,"Autre commerce spécialisé","44 RUE DE LA COLOMBETTE 31000 TOULOUSE","Olivier Fraysse",physique,"",1,2005-01-03,
"STANISLAS BIVONA","",533351300,"Autre commerce spécialisé","APPT B48 9 PLACE DES PRADETTES 31100 TOULOUSE","Stanislas Bivona",physique,"",2,2011-06-23,
"STAR X","PROMO MEDIA X",488885872,"Autre commerce spécialisé","29 RUE HELIOT 31000 TOULOUSE","Roger Finance",physique,"Gérant",1,2006-04-01,
"STREET SHOP","HIGH GRADE SMOKE SHOP",799048558,"Autre commerce spécialisé","12 RUE SAINTE URSULE 31000 TOULOUSE","Vincent Borrel",physique,"Gérant",2,2013-12-11,
"SUD OUEST MODELISME","SUD OUEST MODELISME",484778261,"Autre commerce spécialisé","ZI THIBAUD 6 RUE HENRI TURNER 31100 TOULOUSE","Sebastien Carrere",physique,"Gérant",1,2005-11-15,
"SUD RADIOCOMMUNICATIONS","SUD RADIOCOMMUNICATIONS",450983168,"Autre commerce spécialisé","RESIDENCE LES GOELANDS 92 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","",,"",1,2003-11-25,
"SUDECLOPE","SBLK",893434282,"Autre commerce spécialisé","36 RUE DE REMUSAT 31000 TOULOUSE","Sebastien Bloch",physique,"Gérant",1,2021-02-01,
"SVMF CREATIONS","SVMF CREATIONS",934017674,"Autre commerce spécialisé","7 RUE DU PONT GUILHEMERY 31000 TOULOUSE","Vincent Casonato",physique,"Président de SAS",1,2024-10-09,
"SYSTEMES ALARME SECURITE","DIFFUSION INDUSTRIE DEVELLOPEMENT",304306962,"Autre commerce spécialisé","9 PLACE INTERIEURE SAINT CYPRIEN 31300 TOULOUSE","",,"",4,1975-01-01,
"TAXICOM","UNICOM",448598136,"Autre commerce spécialisé","2 B ALLEE MAURICE SARRAUT 31300 TOULOUSE","",,"",4,2003-04-02,
"TEL-PIECES / DEBLO.FR","TRADE NEXT",798223764,"Autre commerce spécialisé","BAT 7 BUREAUX 20 55 AVENUE LOUIS BREGUET 31400 TOULOUSE","Moujib El bahloul",physique,"Gérant",2,2013-11-01,
"THAMI FALOUS","",314597378,"Autre commerce spécialisé","21 RUE DES TROIS PILIERS 31000 TOULOUSE","Thami Falous",physique,"",1,1978-01-01,
"THE CRAZY STORE","CRAZY VAP",800068553,"Autre commerce spécialisé","22 RUE ARNAUD BERNARD 31100 TOULOUSE","Jean-philippe Fol",physique,"Directeur Général",2,2014-02-01,
"THEIA","THEIA",935319442,"Autre commerce spécialisé","7 RUE DE REMUSAT 31000 TOULOUSE","Shan Huang",physique,"Président de SAS",1,2024-09-23,
"THOMAS RENOULT","",838848240,"Autre commerce spécialisé","32 RUE DES LIBELLULES 31400 TOULOUSE","Thomas Renoult",physique,"",1,2018-04-13,
"TOKADE","CLEMNI",505372524,"Autre commerce spécialisé","9 RUE DES PARADOUX 31000 TOULOUSE","Marie-catherine Bentenat",physique,"Liquidateur",1,2008-08-01,
"TOMBEES DU CAMION","LES PAS PERDUES",499324705,"Autre commerce spécialisé","20 RUE DES LOIS 31000 TOULOUSE","",,"",1,2007-08-30,
"TOULOUSE CIRCUS SHOP","TOULOUSE CIRCUS SHOP",801202839,"Autre commerce spécialisé","42 RUE DES COUTELIERS 31000 TOULOUSE","Thomas Remy",physique,"Gérant",1,2014-02-04,
"TOULOUSE TIME ART","TOULOUSE TIME ART",478971336,"Autre commerce spécialisé","4 RUE BOULBONNE 31000 TOULOUSE","Catherine Pohl chausson (pohl)",physique,"Gérant",1,2004-10-06,
"TOULOUSE TRADE COMPUTING INGENIERY (TLSE TCI)","TOULOUSE TRADE COMPUTING INGENIERY",509398731,"Autre commerce spécialisé","15 CHEMINEMENT BLAISE CENDRARS 31100 TOULOUSE","",,"",1,2008-12-11,
"TOULOUSE-CAOUTCHOUC ET PLASTIQUES","TOULOUSE-CAOUTCHOUC ET PLASTIQUES",570806000,"Autre commerce spécialisé","50 RUE DE REMUSAT 31000 TOULOUSE","Anas Sekkat",physique,"Gérant",2,1957-01-01,
"TRI-AL GROUP","TRI-AL GROUP",101872935,"Autre commerce spécialisé","18 RUE NOUADHIBOU 31400 TOULOUSE","Alix Gury",physique,"Gérant",1,2026-02-05,
"UN PETIT UNIVERT","UN PETIT UNIVERT",492191374,"Autre commerce spécialisé","46 RUE DE LA COLOMBETTE 31000 TOULOUSE","",,"",1,2006-10-16,
"UN SOURIRE, UN FUTUR","UN SOURIRE, UN FUTUR",941123598,"Autre commerce spécialisé","APPARTEMENT 11 31300 1 RUE CUJETTE 31300 TOULOUSE","",,"",1,2025-02-07,
"UNION CREATEURS 3IEME MILLENAIRE (UC3M)","UNION CREATEURS 3IEME MILLENAIRE",452282056,"Autre commerce spécialisé","2 CHEMINEMENT DU CLAIR BOIS 31500 TOULOUSE","Bernard Nguyen",physique,"Gérant",1,2004-03-01,
"UNIVERS REPARATION","UNIVERS REPARATION",797826245,"Autre commerce spécialisé","23 AVENUE JEAN RIEUX 31500 TOULOUSE","",,"",1,2013-09-07,
"VAP FOR ALL","VAP FOR ALL & CO",802395467,"Autre commerce spécialisé","25 RUE PARGAMINIERES 31000 TOULOUSE","Karim Tayeb",physique,"Gérant",1,2014-06-01,
"VAP GALERY","VAP GALERY",801966524,"Autre commerce spécialisé","92 AVENUE CAMILLE PUJOL 31500 TOULOUSE","Laurent Gioia",physique,"Président de SAS",1,2014-05-02,
"VAPE & VIBES","VAPE & VIBES",990799058,"Autre commerce spécialisé","11 RUE SAINT ROME 31000 TOULOUSE","Camille Saforcada",physique,"Gérant",1,2025-08-20,
"VAPE AVENUE","VAPE AVENUE",991441593,"Autre commerce spécialisé","4 RUE GABRIEL PERI 31000 TOULOUSE","Guevor Makarian",physique,"Président de SAS",1,2025-08-13,
"VAPOSTORE","JOY 3",837979426,"Autre commerce spécialisé","3 ESPLANADE COMPANS CAFFARELLI 31000 TOULOUSE","Loan Juan",physique,"Président de SAS",1,2018-02-13,
"VAPOTE&CO","VAPOTE&CO",800804197,"Autre commerce spécialisé","[NON-DIFFUSIBLE]","[non-diffusible] [non-diffusible]",physique,"Président de SAS",1,2014-03-12,
"VIDDROP FUTURE","VIDDROP FUTURE",994082972,"Autre commerce spécialisé","8 PLACE ROGER SALENGRO 31000 TOULOUSE","Simei Liao",physique,"Président de SAS",1,2025-11-14,
"VIDEO PUJOL","VIDEO PUJOL",483720942,"Autre commerce spécialisé","57 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Gerard Pujol",physique,"Gérant",2,2005-11-01,
"VIOLETTES ET PASTELS","VIOLETTES ET PASTELS",802889956,"Autre commerce spécialisé","10 RUE SAINT PANTALEON 31000 TOULOUSE","Benoit Lhommeau",physique,"Gérant",1,2014-06-12,
"VITTORIA","COTON ROUGE",380099200,"Autre commerce spécialisé","3 B RUE DU REMPART VILLENEUVE 31000 TOULOUSE","CGR HOLDING",morale,"",1,1990-11-23,510599657
"VIVRE MOBILE","PHONE 31",501429138,"Autre commerce spécialisé","19 AVENUE PABLO PICASSO 31100 TOULOUSE","",,"",3,2008-01-10,
"W.T.A.","W.T.A.",519564017,"Autre commerce spécialisé","2 RUE DE VALENCIENNES 31000 TOULOUSE","Djamel Chibout",physique,"Gérant",1,2010-01-02,
"WELL.COM","WELL.COM",483445243,"Autre commerce spécialisé","38 RUE DU TAUR 31000 TOULOUSE","",,"",1,2005-07-25,
"WILFRID ALINDE","",438183386,"Autre commerce spécialisé","KIOSQUE ALL PRESIDENT ROOSEVELT 31000 TOULOUSE","Wilfrid Alinde",physique,"",1,2001-07-01,
"YANN CROS","",510515935,"Autre commerce spécialisé","95 RUE DE LIMAYRAC 31500 TOULOUSE","Yann Cros",physique,"",1,2009-02-13,
"YPE","MELVIN",387870868,"Autre commerce spécialisé","2 B RUE CLEMENCE ISAURE 31000 TOULOUSE","Annick Philipot (servant)",physique,"Président de SAS",1,1992-06-01,
"YRPC","YRPC",900325457,"Autre commerce spécialisé","154 ROUTE D'ALBI 31200 TOULOUSE","Pierre Canil",physique,"Directeur Général",1,2021-06-01,
"YSABELLE ROSE","YSABELLE ROSE",805216108,"Autre commerce spécialisé","38 RUE DE REMUSAT 31000 TOULOUSE","Isabelle Mouchigam",physique,"Président de SAS",1,2014-10-15,
"ZAHOOR MALIK","",402182992,"Autre commerce spécialisé","APPT 43 12 CHEMIN D'AUDIBERT 31200 TOULOUSE","Zahoor Malik",physique,"",1,1995-09-11,
"ZL2A","ZL2A",793797994,"Autre commerce spécialisé","58 CHEMIN SALINIE 31100 TOULOUSE","Anthony Paez",physique,"Président de SAS",2,2013-07-01,
"ALAIN BENHAMOU","",379554645,"Bijouterie/Horlogerie","157 GRANDE-RUE SAINT MICHEL 31400 TOULOUSE","Alain Benhamou",physique,"",1,1990-10-01,
"ANDRE SCHROUN","",352239479,"Bijouterie/Horlogerie","18 AVENUE DES ETATS UNIS 31200 TOULOUSE","Andre Schroun",physique,"",1,1989-10-02,
"ANTOINETTE CAMPS (RUBIO)","",411142458,"Bijouterie/Horlogerie","26 PL DUPUY 31000 TOULOUSE","Antoinette Camps (rubio)",physique,"",1,1997-01-01,
"ASTRID CURUTCHET (DE SEYNES) (TROIS SUR TROIS)","",383226743,"Bijouterie/Horlogerie","4 RUE COURTE 31300 TOULOUSE","Astrid Curutchet (de seynes)",physique,"",1,1991-10-01,
"BIJOUTERIE","CRISTAL BIJOUX",487544553,"Bijouterie/Horlogerie","61 BOULEVARD DE STRASBOURG 31000 TOULOUSE","Karine Abdessadox",physique,"Gérant",1,2005-12-15,
"BIJOUTERIE AUCHERE","BIJOUTERIE AUCHERE",411586076,"Bijouterie/Horlogerie","75 RUE VESTREPAIN 31100 TOULOUSE","Emmanuel Auchere",physique,"Directeur Général",1,1997-03-27,
"BIJOUTERIE BORASO","BIJOUTERIE BORASO",323944694,"Bijouterie/Horlogerie","GAL MARCH CARREFOUR PURPAN 36 ROUTE DE BAYONNE 31300 TOULOUSE","Marina Boraso",physique,"Gérant",1,1982-01-01,
"BIJOUTERIE HASRAT","BIJOUTERIE HASRAT",992835892,"Bijouterie/Horlogerie","33 RUE DU REMPART MATABIAU 31000 TOULOUSE","Mohamad Hussein",physique,"Président de SAS",1,2025-10-20,
"BIJOUTERIE MEDINA","MEDINA",901661793,"Bijouterie/Horlogerie","47 BOULEVARD DE STRASBOURG 31000 TOULOUSE","Miro Adams",physique,"Président de SAS",1,2021-07-13,
"BIJOUTERIE NOUGUES","BIJOUTERIE NOUGUES",730800612,"Bijouterie/Horlogerie","32 RUE DE LA POMME 31000 TOULOUSE","Sandra Nougues",physique,"Gérant",1,1973-01-01,
"CHARME EXOTIQUE","CHARME EXOTIQUE",790248850,"Bijouterie/Horlogerie","41 RUE DES CHANGES 31000 TOULOUSE","",,"",1,2013-02-01,
"CHEZ MAIA","CHEZ MAIA",902833250,"Bijouterie/Horlogerie","36-54 CTRE CCIAL CARREFOUR TOULOUSE 36 ROUTE DE BAYONNE 31300 TOULOUSE","Audrey Camel",physique,"Directeur Général",1,2021-08-27,
"CHRISTOMET","CHRISTOMET",917739880,"Bijouterie/Horlogerie","23 RUE CROIX BARAGNON 31000 TOULOUSE","Edouard Dorise (dorise)",physique,"Président de SAS",1,2022-07-20,
"COMPTOIR DE L'OR ET DU BIJOU","COMPTOIR DE L'OR ET DU BIJOU",813742533,"Bijouterie/Horlogerie","23 RUE SAINTE URSULE 31000 TOULOUSE","Maxime Villefayot",physique,"Président de SAS",1,2015-09-22,
"DIAMANOR","DIAMONDS BY NADIA",750746968,"Bijouterie/Horlogerie","40 RUE DE REMUSAT 31000 TOULOUSE","",,"",1,2012-03-23,
"DORISE JOAILLIER TOULOUSE","DORISE JOAILLIER TOULOUSE",300485133,"Bijouterie/Horlogerie","41 RUE CROIX BARAGNON 31000 TOULOUSE","Edouard Dorise (dorise)",physique,"Président de SAS",1,1974-01-01,
"ENAXOR","ENAXOR",342134442,"Bijouterie/Horlogerie","3 RUE DU SALE 31000 TOULOUSE","Guy Subra",physique,"Directeur Général",1,1987-08-18,
"ESTELLE & GILLES BERNADOU","BERNADOU RIVE GAUCHE",417775046,"Bijouterie/Horlogerie","CENTRE COMMERCIAL - N  41-43 AVENUE DE LOMBEZ 31300 TOULOUSE","Gilles Bernadou (bernadou)",physique,"Gérant",1,1998-02-20,
"F.JEMA","F.JEMA EURL",790076871,"Bijouterie/Horlogerie","35 CHEMIN DES PRADETTES 31100 TOULOUSE","",,"",1,2012-12-12,
"FAUR QUINTANA","IJ",534100342,"Bijouterie/Horlogerie","ET 18 RUE RIVALS 19 PLACE VICTOR HUGO 31000 TOULOUSE","Benoit Quintana (quintana)",physique,"Gérant",1,2011-07-26,
"FIDSO REMUSAT","FIDSO REMUSAT",943640557,"Bijouterie/Horlogerie","6 RUE DE REMUSAT 31000 TOULOUSE","AUDIMIS HDF",morale,"",1,2025-04-22,518793369
"FJT","SAS FRAYSSINET JOAILLIER TOULOUSE",501696819,"Bijouterie/Horlogerie","33 RUE DU LANGUEDOC 31000 TOULOUSE","HOLDING FRAYSSINET",morale,"Président de SAS",5,2007-12-10,797884517
"FRAYSSINET JOAILLIER","FRAYSSINET JOAILLIER",330200940,"Bijouterie/Horlogerie","1 ALLEES JEAN JAURES 31000 TOULOUSE","HOLDING FRAYSSINET",morale,"Président de SAS",4,1984-06-15,797884517
"FREDERIC MAYRAN","",528035173,"Bijouterie/Horlogerie","25 RUE PAUL VALERY 31200 TOULOUSE","Frederic Mayran",physique,"",1,2010-10-28,
"FREEKULT (FK)","FREEKULT",749940920,"Bijouterie/Horlogerie","38 AVENUE DES MINIMES 31200 TOULOUSE","",,"",1,2012-02-28,
"G2M PARIS","G2M PARIS",829318112,"Bijouterie/Horlogerie","9 RUE ANTONIN MERCIE 31000 TOULOUSE","Marc Deloche",physique,"Gérant",2,2017-05-02,
"GAELLE SOPHIE","GAELLE SOPHIE",811860428,"Bijouterie/Horlogerie","27 RUE HELIOT 31000 TOULOUSE","Martial Liboutet",physique,"Président de SAS",1,2015-06-01,
"GO FAST CONSEILS","GO FAST CONSEILS",517738498,"Bijouterie/Horlogerie","87 RUE DU FERETRA 31400 TOULOUSE","",,"",2,2009-09-25,
"GUIMON JOAILLERIE","GUIMON JOAILLERIE",827623299,"Bijouterie/Horlogerie","12 RUE LEON GAMBETTA 31000 TOULOUSE","Julien Guimon (guimon)",physique,"Gérant",1,2017-02-01,
"IMAGINE","IMAGINE",393981394,"Bijouterie/Horlogerie","40 RUE DE LA POMME 31000 TOULOUSE","Nathalie Ghenassia",physique,"Gérant",1,1994-02-01,
"INDIVISION CHEVALIER","INDIVISION CHEVALIER",720701184,"Bijouterie/Horlogerie","23 RUE DE LA POMME 31000 TOULOUSE","",,"",1,1972-01-01,
"JAILLET","JAILLET",901806471,"Bijouterie/Horlogerie","28 RUE CROIX BARAGNON 31000 TOULOUSE","Edouard Dorise",physique,"Président de SAS",1,2021-07-23,
"JEAN CHAMBERT","JEAN CHAMBERT",308159292,"Bijouterie/Horlogerie","9 PLACE DU PRESIDENT THOMAS WOODROW WILSON 31000 TOULOUSE","Elisabeth Chambert (polenne)",physique,"Liquidateur",1,1964-01-01,
"JOAILLERIE PIQUEMAL-BARON","CARLA",488302654,"Bijouterie/Horlogerie","27 RUE CROIX BARAGNON 31000 TOULOUSE","Catherine Piquemal-baron (maurice)",physique,"Gérant",1,2006-01-14,
"L.R.B.J","L.R.B.J",483989182,"Bijouterie/Horlogerie","22 RUE CROIX BARAGNON 31000 TOULOUSE","Laurent Rieunier (rieunier)",physique,"Gérant",2,2005-09-05,
"LA CREA MULTIMEDIA","LA CREA MULTIMEDIA",494605140,"Bijouterie/Horlogerie","13 RUE BEAUSEJOUR 31500 TOULOUSE","Brigitte Dekovic",physique,"Gérant",2,2007-02-15,
"LA MAIN D'OR","LA MAIN D'OR",750713893,"Bijouterie/Horlogerie","17 PLACE JEANNE D'ARC 31000 TOULOUSE","Dan Attia (attia)",physique,"Président de SAS",1,2012-03-09,
"LAOULA (LAOULA)","LAOULA",487514879,"Bijouterie/Horlogerie","6 RUE D'ASTORG 31000 TOULOUSE","Mansouria Belmere (el bouchikhi)",physique,"Gérant",1,2006-01-02,
"LE SABRE D'OR","LE SABRE D'OR",384417242,"Bijouterie/Horlogerie","38 AVENUE DES MINIMES 31200 TOULOUSE","",,"",1,1991-10-01,
"MARC DELOCHE","G2M TOULOUSE",535018469,"Bijouterie/Horlogerie","9 RUE ANTONIN MERCIE 31000 TOULOUSE","Marc Deloche",physique,"Gérant",2,2011-09-28,
"MARC DELOCHE","G2M BORDEAUX",749813903,"Bijouterie/Horlogerie","9 RUE ANTONIN MERCIE 31000 TOULOUSE","Marc Deloche",physique,"Gérant",2,2012-02-14,
"MARC FREZAL","",449858794,"Bijouterie/Horlogerie","24 RUE DE LA COLOMBETTE 31000 TOULOUSE","Marc Frezal (frezal)",physique,"",1,2003-10-01,
"MIRA MIRA","MERCURE",928558550,"Bijouterie/Horlogerie","23 RUE SAINT ROME 31000 TOULOUSE","Arnaud Turbe",physique,"Gérant",1,2024-06-15,
"N A L'INFINI","N A L'INFINI",817911969,"Bijouterie/Horlogerie","19 RUE DE LA POMME 31000 TOULOUSE","Patricia Lacombe",physique,"Gérant",1,2016-02-01,
"OR INTERNATIONAL","",751146846,"Bijouterie/Horlogerie","241 RUE HENRI DESBALS 31100 TOULOUSE","Juan Fernandez",physique,"",2,2012-04-23,
"PARIS VENDOME","PARIS VENDOME",505385906,"Bijouterie/Horlogerie","4 RUE MAURICE CAUNES 31200 TOULOUSE","Fiona Molco",physique,"Président de SAS",1,2008-07-22,
"PAUSE","PAUSE",985210459,"Bijouterie/Horlogerie","23 RUE DE LA TRINITE 31000 TOULOUSE","Jonathan Blaise",physique,"Gérant",1,2024-03-01,
"POINDRELLE","POINDRELLE",324454735,"Bijouterie/Horlogerie","15 RUE DES ARTS 31000 TOULOUSE","Liliane Poindrelle",physique,"Liquidateur",2,1982-05-15,
"PUJOL","PUJOL",660801820,"Bijouterie/Horlogerie","3 PLACE JEANNE D'ARC 31000 TOULOUSE","PUJOL - HOLDING",morale,"Président de SAS",1,1966-01-01,389807850
"RL.COM","RL.COM",879698066,"Bijouterie/Horlogerie","17 RUE DES ARTS 31000 TOULOUSE","Romain Mussato",physique,"Président de SAS",1,2019-12-09,
"S. MERIC","S. MERIC",344364955,"Bijouterie/Horlogerie","114 AVENUE JEAN CHAUBET 31500 TOULOUSE","Stephane Meric",physique,"Gérant",1,1988-03-01,
"SAINT PAULIN","SAINT PAULIN",948637442,"Bijouterie/Horlogerie","40 RUE DE REMUSAT 31000 TOULOUSE","Catherine Jimenez",physique,"Président de SAS",1,2023-02-01,
"SAOYA","AUTAN BLANC",823051180,"Bijouterie/Horlogerie","17 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Arnaud Turbe",physique,"Gérant",1,2016-10-11,
"SARL DIFFUSION","SARL DIFFUSION",401286620,"Bijouterie/Horlogerie","ZI DU CHAPITRE 7 CHEMIN DES SILOS 31100 TOULOUSE","",,"",2,1995-06-08,
"SARL PERLIN'S","SARL PERLIN'S",326727633,"Bijouterie/Horlogerie","49 RUE DE LA POMME 31000 TOULOUSE","Sylvie Schmitt (schmitt)",physique,"Gérant",1,1983-04-01,
"SARL RICCOBENE","SARL RICCOBENE",420109332,"Bijouterie/Horlogerie","251 ROUTE DE BAYONNE 31300 TOULOUSE","Caroline Riccobene (maresse)",physique,"Gérant",1,1998-08-10,
"SASU TOUK TOUK 2","SASU TOUK TOUK 2",951762012,"Bijouterie/Horlogerie","31 RUE DE REMUSAT 31000 TOULOUSE","Myriam Beraud",physique,"Président de SAS",1,2023-04-19,
"SOCIETE LAURA","SOCIETE LAURA",315984070,"Bijouterie/Horlogerie","20 RUE CROIX BARAGNON 31000 TOULOUSE","",,"",1,1979-01-01,
