name,address,quartier,category,naf,phone,website,email,email_source,score,dirigeant
WORK IN PROGRESS FRANCE,56 Rue des Tourneurs 31000 Toulouse,,mode,47.71Z,,,,,80,
COEUR EPIQUE,2 Rue de la Colombette 31000 Toulouse,,mode,47.71Z,,,,,80,
JACADI,34 Rue de Metz 31000 Toulouse,,mode,47.71Z,,,,,80,
TEZENIS,35 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
BLUEBERRY,9 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
LA CHEMISERIE TOULOUSAINE--LCT,12 Rue Croix Baragnon 31000 Toulouse,,mode,47.71Z,,,,,80,
DRESSING ROSE AND KIDS,31 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
COTELAC,18 Rue Croix Baragnon 31000 Toulouse,,mode,47.71Z,,,,,80,
SADIA,39 Rue de Bayard 31000 Toulouse,,mode,47.71Z,,,,,80,
MICHAEL DRILHOLE CONCEPT,31 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
BOSCHERIE PERE ET FILLE,49 Rue des Filatiers 31000 Toulouse,,mode,47.71Z,,,,,80,
STOCK COMPANY,24 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
CAROLL,31 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
BURTON,55 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
DANYBERD,19 Rue Croix Baragnon 31000 Toulouse,,mode,47.71Z,,,,,80,
MJ CONCEPT STORE - VERSION CAMELEON,46 Rue du Languedoc 31000 Toulouse,,mode,47.71Z,,,,,80,
LX CHAM,3 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
K-WAY FRANCE,25 Rue de Metz 31000 Toulouse,,mode,47.71Z,,,,,80,
HERVE MARIAGE,20 Rue du Languedoc 31000 Toulouse,,mode,47.71Z,,,,,80,
WORKER,34 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
GERSIM,5 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
CALZEDONIA,21 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
DEFERLER,38 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
VANS,3 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
EKYOG,28 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
PRINCESSES ET VIOLETTES,41 Rue des Tourneurs 31000 Toulouse,,mode,47.71Z,,,,,80,
LA SUITE...,22 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
SORTILEGE,7 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,MARIE GUILHEM
ZARA,25 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
APOS 33,34 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
L'ICONOCLASTE,17 Rue Croix Baragnon 31000 Toulouse,,mode,47.71Z,,,,,80,
M.E.V,63 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
ERES,40 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
LILITH,15 Rue Croix Baragnon 31000 Toulouse,,mode,47.71Z,,,,,80,
NAF NAF,19 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
STEDIF,47 Rue des Filatiers 31000 Toulouse,,mode,47.71Z,,,,,80,
M.J.H.,42 Rue des Filatiers 31000 Toulouse,,mode,47.71Z,,,,,80,
ESPRIT,57 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
HERO SEVEN,22 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
NAPAPIJRI,36 Rue des Tourneurs 31000 Toulouse,,mode,47.71Z,,,,,80,
UN JOUR AILLEURS,43 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
MANOUSHKA,53 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
VIA UNO,9 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
L'EMPLACEMENT,40 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
INTIMISSIMI,16 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
SDQ 31,26 Rue Saint Rome 31000 Toulouse,,mode,47.71Z,,,,,80,
PAMPY,11 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
FIGARET,43 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
CYRILLUS,14 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
B.S.H. DIFFUSION,3 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
CLAUDIE PIERLOT,29 Rue de Metz 31000 Toulouse,,mode,47.71Z,,,,,80,
PULL & BEAR,59 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
2JDL,42 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
AZED,54 Rue de Metz 31000 Toulouse,,mode,47.71Z,,,,,80,
LIBERTIE,28 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
ALPHABET,39 Rue de Metz 31000 Toulouse,,mode,47.71Z,,,,,80,
SHUNFAT,37 Rue de Bayard 31000 Toulouse,,mode,47.71Z,,,,,80,
SMALTO,6 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
PIPIA & COMPAGNIE,54 Rue des Filatiers 31000 Toulouse,,mode,47.71Z,,,,,80,
SOCIETE CENTRALE DE DISTRIBUTION TEXTILE,61 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
UNDIZ,26 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
KATHY. B,44 Rue de Metz 31000 Toulouse,,mode,47.71Z,,,,,80,
LA MAISON DE L'HOMME,46 Rue de Metz 31000 Toulouse,,mode,47.71Z,,,,,80,
AMERICAN VINTAGE,5 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
GLOBE,70 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
SINEQUANONE,14 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
BOUTIQUE DEVERNOIS,27 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
SEBAGO FRANCE,50 Rue Boulbonne 31000 Toulouse,,mode,47.71Z,,,,,80,
SERGIO TACCHINI,57 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
DEVRED,18 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
LA QUENOUILLE-BOUTON D'OR,32 Rue de Metz 31000 Toulouse,,mode,47.71Z,,,,,80,
JULES,24 Rue d'Alsace Lorraine 31000 Toulouse,,mode,47.71Z,,,,,80,
GENESIS,16 Rue de la Pomme 31000 Toulouse,,mode,47.71Z,,,,,80,
